PAR,time,acc,Rep,lw,gs,Induction
1500,190,rice143,1,1.3,0.21717,
1500,200,rice143,1,1.3,0.22435,
1500,210,rice143,1,1.3,0.23071,
1500,220,rice143,1,1.3,0.23483,
1500,230,rice143,1,1.3,0.23887,
1500,240,rice143,1,1.3,0.24261,
1500,250,rice143,1,1.3,0.23903,
1500,260,rice143,1,1.3,0.247,
1500,270,rice143,1,1.3,0.25227,
1500,280,rice143,1,1.3,0.26055,
1500,290,rice143,1,1.3,0.26793,
1500,300,rice143,1,1.3,0.27177,
1500,310,rice143,1,1.3,0.26805,
1500,320,rice143,1,1.3,0.27503,
1500,330,rice143,1,1.3,0.2782,
1500,340,rice143,1,1.3,0.28155,
1500,350,rice143,1,1.3,0.28297,
1500,360,rice143,1,1.3,0.28799,
1500,370,rice143,1,1.3,0.27984,
1500,380,rice143,1,1.3,0.28909,
1500,390,rice143,1,1.3,0.29209,
1500,400,rice143,1,1.3,0.29224,
1500,410,rice143,1,1.3,0.29462,
1500,420,rice143,1,1.3,0.29541,
1500,430,rice143,1,1.3,0.28193,
1500,440,rice143,1,1.3,0.2873,
1500,450,rice143,1,1.3,0.29076,
1500,460,rice143,1,1.3,0.29173,
1500,470,rice143,1,1.3,0.29219,
1500,480,rice143,1,1.3,0.2929,
1500,490,rice143,1,1.3,0.29028,
1500,500,rice143,1,1.3,0.28945,
1500,510,rice143,1,1.3,0.29239,
1500,520,rice143,1,1.3,0.29338,
1500,530,rice143,1,1.3,0.29256,
1500,540,rice143,1,1.3,0.2912,
1500,550,rice143,1,1.3,0.28933,
1500,560,rice143,1,1.3,0.2972,
1500,570,rice143,1,1.3,0.29998,
1500,580,rice143,1,1.3,0.30119,
1500,590,rice143,1,1.3,0.30048,
1500,600,rice143,1,1.3,0.29936,
1500,610,rice143,1,1.3,0.28847,
1500,620,rice143,1,1.3,0.29528,
1500,630,rice143,1,1.3,0.29855,
1500,640,rice143,1,1.3,0.29814,
1500,650,rice143,1,1.3,0.29781,
1500,660,rice143,1,1.3,0.29677,
1500,670,rice143,1,1.3,0.28612,
1500,680,rice143,1,1.3,0.29257,
1500,690,rice143,1,1.3,0.29435,
1500,700,rice143,1,1.3,0.29611,
1500,710,rice143,1,1.3,0.29448,
1500,720,rice143,1,1.3,0.2874,
1500,730,rice143,1,1.3,0.28632,
1500,740,rice143,1,1.3,0.28975,
1500,750,rice143,1,1.3,0.29284,
1500,760,rice143,1,1.3,0.29261,
1500,770,rice143,1,1.3,0.29401,
1500,780,rice143,1,1.3,0.29449,
1500,790,rice143,1,1.3,0.28363,
1500,800,rice143,1,1.3,0.28976,
1500,810,rice143,1,1.3,0.29086,
1500,820,rice143,1,1.3,0.29065,
1500,830,rice143,1,1.3,0.28925,
1500,840,rice143,1,1.3,0.28878,
1500,850,rice143,1,1.3,0.27819,
1500,860,rice143,1,1.3,0.28248,
1500,870,rice143,1,1.3,0.28514,
1500,880,rice143,1,1.3,0.28461,
1500,890,rice143,1,1.3,0.28468,
1500,900,rice143,1,1.3,0.2847,
100,910,rice143,1,1.3,0.27838,
100,920,rice143,1,1.3,0.26215,
100,930,rice143,1,1.3,0.25805,
100,940,rice143,1,1.3,0.25127,
100,950,rice143,1,1.3,0.24237,
100,960,rice143,1,1.3,0.23856,
100,970,rice143,1,1.3,0.24804,
100,980,rice143,1,1.3,0.24136,
100,990,rice143,1,1.3,0.23517,
100,1000,rice143,1,1.3,0.2332,
100,1010,rice143,1,1.3,0.23118,
100,1020,rice143,1,1.3,0.22811,
100,1030,rice143,1,1.3,0.23013,
100,1040,rice143,1,1.3,0.22415,
100,1050,rice143,1,1.3,0.21484,
100,1060,rice143,1,1.3,0.21066,
100,1070,rice143,1,1.3,0.20974,
100,1080,rice143,1,1.3,0.20791,
100,1090,rice143,1,1.3,0.21299,
100,1100,rice143,1,1.3,0.20567,
100,1110,rice143,1,1.3,0.20154,
100,1120,rice143,1,1.3,0.19778,
100,1130,rice143,1,1.3,0.1933,
100,1140,rice143,1,1.3,0.19031,
100,1150,rice143,1,1.3,0.19081,
100,1160,rice143,1,1.3,0.18398,
100,1170,rice143,1,1.3,0.17838,
100,1180,rice143,1,1.3,0.17038,
100,1190,rice143,1,1.3,0.16323,
100,1200,rice143,1,1.3,0.15556,
1500,0,rice143,2,1.1,0.05373,
1500,10,rice143,2,1.1,0.04676,
1500,20,rice143,2,1.1,0.04787,
1500,30,rice143,2,1.1,0.04795,
1500,40,rice143,2,1.1,0.04835,
1500,50,rice143,2,1.1,0.04948,
1500,60,rice143,2,1.1,0.05011,
1500,70,rice143,2,1.1,0.06147,
1500,80,rice143,2,1.1,0.06579,
1500,90,rice143,2,1.1,0.06874,
1500,100,rice143,2,1.1,0.07029,
1500,110,rice143,2,1.1,0.07203,
1500,120,rice143,2,1.1,0.0763,
1500,130,rice143,2,1.1,0.07958,
1500,140,rice143,2,1.1,0.0814,
1500,150,rice143,2,1.1,0.0806,
1500,160,rice143,2,1.1,0.08332,
1500,170,rice143,2,1.1,0.08703,
1500,180,rice143,2,1.1,0.09026,
1500,190,rice143,2,1.1,0.1034,
1500,200,rice143,2,1.1,0.1086,
1500,210,rice143,2,1.1,0.11468,
1500,220,rice143,2,1.1,0.1196,
1500,230,rice143,2,1.1,0.12409,
1500,240,rice143,2,1.1,0.12962,
1500,250,rice143,2,1.1,0.13306,
1500,260,rice143,2,1.1,0.14403,
1500,270,rice143,2,1.1,0.15362,
1500,280,rice143,2,1.1,0.16053,
1500,290,rice143,2,1.1,0.16887,
1500,300,rice143,2,1.1,0.17675,
1500,310,rice143,2,1.1,0.1957,
1500,320,rice143,2,1.1,0.20908,
1500,330,rice143,2,1.1,0.21888,
1500,340,rice143,2,1.1,0.21859,
1500,350,rice143,2,1.1,0.22061,
1500,360,rice143,2,1.1,0.22657,
1500,370,rice143,2,1.1,0.22383,
1500,380,rice143,2,1.1,0.22934,
1500,390,rice143,2,1.1,0.22576,
1500,400,rice143,2,1.1,0.2232,
1500,410,rice143,2,1.1,0.22,
1500,420,rice143,2,1.1,0.21313,
1500,430,rice143,2,1.1,0.18775,
1500,440,rice143,2,1.1,0.18297,
1500,450,rice143,2,1.1,0.17137,
1500,460,rice143,2,1.1,0.16422,
1500,470,rice143,2,1.1,0.1561,
1500,480,rice143,2,1.1,0.15479,
1500,490,rice143,2,1.1,0.13794,
1500,500,rice143,2,1.1,0.13619,
1500,510,rice143,2,1.1,0.13155,
1500,520,rice143,2,1.1,0.12631,
1500,530,rice143,2,1.1,0.12371,
1500,540,rice143,2,1.1,0.12057,
1500,550,rice143,2,1.1,0.11236,
1500,560,rice143,2,1.1,0.11238,
1500,570,rice143,2,1.1,0.11412,
1500,580,rice143,2,1.1,0.10877,
1500,590,rice143,2,1.1,0.10827,
1500,600,rice143,2,1.1,0.10784,
1500,610,rice143,2,1.1,0.11119,
1500,620,rice143,2,1.1,0.11413,
1500,630,rice143,2,1.1,0.11811,
1500,640,rice143,2,1.1,0.12042,
1500,650,rice143,2,1.1,0.12585,
1500,660,rice143,2,1.1,0.12686,
1500,670,rice143,2,1.1,0.1292,
1500,680,rice143,2,1.1,0.13255,
1500,690,rice143,2,1.1,0.13624,
1500,700,rice143,2,1.1,0.13906,
1500,710,rice143,2,1.1,0.13868,
1500,720,rice143,2,1.1,0.14161,
1500,730,rice143,2,1.1,0.15233,
1500,740,rice143,2,1.1,0.15642,
1500,750,rice143,2,1.1,0.16268,
1500,760,rice143,2,1.1,0.16671,
1500,770,rice143,2,1.1,0.16948,
1500,780,rice143,2,1.1,0.17116,
1500,790,rice143,2,1.1,0.16388,
1500,800,rice143,2,1.1,0.16854,
1500,810,rice143,2,1.1,0.17253,
1500,820,rice143,2,1.1,0.17532,
1500,830,rice143,2,1.1,0.17693,
1500,840,rice143,2,1.1,0.1802,
1500,850,rice143,2,1.1,0.17771,
1500,860,rice143,2,1.1,0.18181,
1500,870,rice143,2,1.1,0.18237,
1500,880,rice143,2,1.1,0.18159,
1500,890,rice143,2,1.1,0.18107,
1500,900,rice143,2,1.1,0.17995,
100,910,rice143,2,1.1,0.19157,
100,920,rice143,2,1.1,0.18506,
100,930,rice143,2,1.1,0.18444,
100,940,rice143,2,1.1,0.18286,
100,950,rice143,2,1.1,0.181,
100,960,rice143,2,1.1,0.17624,
100,970,rice143,2,1.1,0.17172,
100,980,rice143,2,1.1,0.15887,
100,990,rice143,2,1.1,0.1564,
100,1000,rice143,2,1.1,0.15121,
100,1010,rice143,2,1.1,0.15092,
100,1020,rice143,2,1.1,0.14817,
100,1030,rice143,2,1.1,0.15156,
100,1040,rice143,2,1.1,0.1482,
100,1050,rice143,2,1.1,0.1448,
100,1060,rice143,2,1.1,0.13755,
100,1070,rice143,2,1.1,0.13381,
100,1080,rice143,2,1.1,0.13052,
100,1090,rice143,2,1.1,0.13249,
100,1100,rice143,2,1.1,0.12879,
100,1110,rice143,2,1.1,0.1236,
100,1120,rice143,2,1.1,0.1199,
100,1130,rice143,2,1.1,0.11515,
100,1140,rice143,2,1.1,0.10858,
100,1150,rice143,2,1.1,0.11285,
100,1160,rice143,2,1.1,0.1111,
100,1170,rice143,2,1.1,0.1081,
100,1180,rice143,2,1.1,0.10313,
100,1190,rice143,2,1.1,0.10056,
100,1200,rice143,2,1.1,0.0967,
1500,0,rice143,3,1.3,0.41813,
1500,10,rice143,3,1.3,0.40332,
1500,20,rice143,3,1.3,0.43264,
1500,30,rice143,3,1.3,0.43654,
1500,40,rice143,3,1.3,0.4377,
1500,50,rice143,3,1.3,0.43404,
1500,60,rice143,3,1.3,0.43005,
1500,70,rice143,3,1.3,0.39739,
1500,80,rice143,3,1.3,0.39868,
1500,90,rice143,3,1.3,0.39498,
1500,100,rice143,3,1.3,0.39078,
1500,110,rice143,3,1.3,0.38842,
1500,120,rice143,3,1.3,0.38944,
1500,130,rice143,3,1.3,0.37194,
1500,140,rice143,3,1.3,0.37727,
1500,150,rice143,3,1.3,0.37679,
1500,160,rice143,3,1.3,0.37333,
1500,170,rice143,3,1.3,0.36872,
1500,180,rice143,3,1.3,0.36639,
1500,190,rice143,3,1.3,0.3451,
1500,200,rice143,3,1.3,0.34851,
1500,210,rice143,3,1.3,0.35068,
1500,220,rice143,3,1.3,0.34937,
1500,230,rice143,3,1.3,0.34812,
1500,240,rice143,3,1.3,0.34549,
1500,250,rice143,3,1.3,0.32676,
1500,260,rice143,3,1.3,0.33492,
1500,270,rice143,3,1.3,0.3367,
1500,280,rice143,3,1.3,0.33851,
1500,290,rice143,3,1.3,0.3394,
1500,300,rice143,3,1.3,0.33883,
1500,310,rice143,3,1.3,0.32507,
1500,320,rice143,3,1.3,0.33382,
1500,330,rice143,3,1.3,0.33853,
1500,340,rice143,3,1.3,0.34145,
1500,350,rice143,3,1.3,0.34223,
1500,360,rice143,3,1.3,0.34441,
1500,370,rice143,3,1.3,0.33413,
1500,380,rice143,3,1.3,0.34046,
1500,390,rice143,3,1.3,0.34317,
1500,400,rice143,3,1.3,0.34517,
1500,410,rice143,3,1.3,0.34425,
1500,420,rice143,3,1.3,0.34382,
1500,430,rice143,3,1.3,0.33037,
1500,440,rice143,3,1.3,0.33716,
1500,450,rice143,3,1.3,0.34406,
1500,460,rice143,3,1.3,0.34907,
1500,470,rice143,3,1.3,0.35353,
1500,480,rice143,3,1.3,0.36053,
1500,490,rice143,3,1.3,0.35452,
1500,500,rice143,3,1.3,0.36576,
1500,510,rice143,3,1.3,0.37208,
1500,520,rice143,3,1.3,0.37975,
1500,530,rice143,3,1.3,0.38311,
1500,540,rice143,3,1.3,0.38815,
1500,550,rice143,3,1.3,0.38095,
